,Month,DayOfYear,Variety,City,Package,Low Price,High Price,Price
148,9,272,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
149,9,272,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
150,9,267,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
151,10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
152,10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
188,11,309,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.409090909090908
189,11,316,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.409090909090908
190,11,323,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.409090909090908
191,11,330,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.409090909090908
209,9,272,MINIATURE,ATLANTA,1 1/9 bushel cartons,16.5,18.0,15.68181818181818
356,9,267,FAIRYTALE,BOSTON,1/2 bushel cartons,15.0,16.0,31.0
357,10,274,FAIRYTALE,BOSTON,1/2 bushel cartons,15.0,16.0,31.0
358,10,281,FAIRYTALE,BOSTON,1/2 bushel cartons,15.0,16.0,31.0
359,10,288,FAIRYTALE,BOSTON,1/2 bushel cartons,15.0,16.0,31.0
360,10,295,FAIRYTALE,BOSTON,1/2 bushel cartons,15.0,16.0,31.0
361,10,302,FAIRYTALE,BOSTON,1/2 bushel cartons,15.0,16.0,31.0
362,11,309,FAIRYTALE,BOSTON,1/2 bushel cartons,15.0,16.0,31.0
377,9,267,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
378,10,274,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
379,10,281,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
380,10,288,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
381,10,295,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
382,10,302,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
383,11,309,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
384,11,316,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
385,11,323,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
386,11,330,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
387,12,337,PIE TYPE,BOSTON,1 1/9 bushel crates,15.0,16.0,14.09090909090909
388,9,267,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
389,10,274,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
390,10,281,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
391,10,288,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
392,10,295,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
393,10,302,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
394,11,309,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
395,11,316,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
396,11,323,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
397,11,330,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
398,12,337,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
399,12,344,PIE TYPE,BOSTON,1 1/9 bushel cartons,15.0,16.0,14.09090909090909
489,9,265,PIE TYPE,BOSTON,bushel cartons,20.0,24.0,22.0
490,9,272,PIE TYPE,BOSTON,bushel cartons,20.0,24.0,22.0
534,9,267,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
535,9,267,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
536,10,274,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
537,10,274,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
538,10,281,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
539,10,281,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
540,10,288,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
541,10,288,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
542,10,295,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
543,10,295,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
544,10,302,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
545,10,302,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
546,11,309,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
547,11,309,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
548,9,267,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
549,9,267,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
550,10,274,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
551,10,274,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
552,10,281,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
553,10,281,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
554,10,288,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
555,10,288,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
556,10,295,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
557,10,295,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
558,10,302,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
559,10,302,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
560,11,309,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
561,11,309,MINIATURE,BOSTON,1/2 bushel cartons,15.0,18.0,33.0
667,9,267,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
668,9,267,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
669,9,267,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
670,10,274,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
671,10,274,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
672,10,274,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
673,10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
674,10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
675,10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
676,10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
677,10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
678,10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.909090909090908
679,10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
680,10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
681,10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
682,10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
683,10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
684,10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
685,11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
686,11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
687,11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
688,11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
689,11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
690,11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
691,11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
692,11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
693,11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
694,11,330,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
695,11,330,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
696,12,337,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
697,12,337,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
698,12,344,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
699,12,344,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.454545454545453
700,8,237,PIE TYPE,CHICAGO,1 1/9 bushel cartons,20.0,20.0,18.18181818181818
701,9,244,PIE TYPE,CHICAGO,1 1/9 bushel cartons,20.0,20.0,18.18181818181818
702,9,244,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,18.0,16.363636363636363
703,9,251,PIE TYPE,CHICAGO,1 1/9 bushel cartons,20.0,20.0,18.18181818181818
704,9,251,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,18.0,16.363636363636363
705,9,258,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,20.0,17.27272727272727
706,9,258,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,19.0,16.363636363636363
707,9,265,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,20.0,17.27272727272727
708,9,265,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,19.0,16.363636363636363
709,9,272,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,20.0,17.27272727272727
710,9,272,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,19.0,16.363636363636363
711,10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
712,10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
713,10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
714,10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
715,11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
716,11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
717,11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
718,11,330,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
719,12,337,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.454545454545453
760,9,258,MINIATURE,CHICAGO,1/2 bushel cartons,19.0,19.0,38.0
761,9,258,MINIATURE,CHICAGO,1/2 bushel cartons,18.0,20.0,38.0
762,9,258,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,19.0,36.0
763,9,265,MINIATURE,CHICAGO,1/2 bushel cartons,19.0,19.0,38.0
764,9,265,MINIATURE,CHICAGO,1/2 bushel cartons,18.0,20.0,38.0
765,9,265,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,19.0,36.0
766,9,272,MINIATURE,CHICAGO,1/2 bushel cartons,19.0,19.0,38.0
767,9,272,MINIATURE,CHICAGO,1/2 bushel cartons,18.0,20.0,38.0
768,9,272,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,19.0,36.0
769,9,267,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
770,9,267,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
771,9,267,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
772,9,267,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
773,9,267,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
774,10,274,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
775,10,274,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
776,10,274,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
777,10,274,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
778,10,281,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
779,10,281,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
780,10,281,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
781,10,281,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
782,10,288,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
783,10,288,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
784,10,288,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
785,10,288,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
786,10,295,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
787,10,295,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
788,10,295,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
789,10,295,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
790,10,302,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
791,10,302,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
792,10,302,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
793,10,302,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
794,11,309,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
795,11,309,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
796,11,309,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
797,11,309,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
798,11,316,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
799,11,316,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
800,11,316,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
801,11,316,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
802,11,323,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
803,11,323,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
804,11,323,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,17.0,34.0
805,11,323,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,18.0,35.0
806,9,251,MINIATURE,CHICAGO,1/2 bushel cartons,19.0,19.0,38.0
807,9,258,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,19.0,36.0
808,9,265,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,19.0,36.0
809,9,272,MINIATURE,CHICAGO,1/2 bushel cartons,17.0,19.0,36.0
936,9,272,PIE TYPE,COLUMBIA,1 1/9 bushel cartons,20.0,20.0,18.18181818181818
977,9,267,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
978,10,274,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
979,10,281,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
980,10,288,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
981,10,295,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
982,10,302,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
983,11,309,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
984,9,265,PIE TYPE,COLUMBIA,bushel cartons,20.0,20.0,20.0
1019,9,267,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1020,9,267,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1021,9,267,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1022,10,274,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1023,10,274,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1024,10,274,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1025,10,281,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1026,10,281,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1027,10,281,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1028,10,288,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1029,10,288,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1030,10,288,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1031,10,295,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1032,10,295,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1033,10,295,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1034,10,302,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1035,10,302,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1036,10,302,MINIATURE,COLUMBIA,1/2 bushel cartons,18.0,18.0,36.0
1037,9,244,MINIATURE,COLUMBIA,1/2 bushel cartons,17.0,17.0,34.0
1038,9,244,MINIATURE,COLUMBIA,1/2 bushel cartons,17.0,17.0,34.0
1039,9,244,MINIATURE,COLUMBIA,1/2 bushel cartons,17.0,17.0,34.0
1040,9,251,MINIATURE,COLUMBIA,1/2 bushel cartons,17.0,17.0,34.0
1041,9,251,MINIATURE,COLUMBIA,1/2 bushel cartons,17.0,17.0,34.0
1042,9,251,MINIATURE,COLUMBIA,1/2 bushel cartons,17.0,17.0,34.0
1043,9,258,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1044,9,258,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1045,9,258,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1046,9,265,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1047,9,265,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1048,9,265,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1049,9,272,MINIATURE,COLUMBIA,1/2 bushel cartons,21.0,21.0,42.0
1050,9,272,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1051,9,272,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1052,9,272,MINIATURE,COLUMBIA,1/2 bushel cartons,15.0,15.0,30.0
1056,9,267,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1057,9,267,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1058,10,274,MINIATURE,COLUMBIA,bushel cartons,30.0,30.0,30.0
1059,10,274,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1060,10,274,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1061,10,281,MINIATURE,COLUMBIA,bushel cartons,30.0,30.0,30.0
1062,10,281,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1063,10,281,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1064,10,288,MINIATURE,COLUMBIA,bushel cartons,30.0,30.0,30.0
1065,10,288,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1066,10,288,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1067,10,295,MINIATURE,COLUMBIA,bushel cartons,30.0,30.0,30.0
1068,10,295,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1069,10,295,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1070,10,302,MINIATURE,COLUMBIA,bushel cartons,30.0,30.0,30.0
1071,10,302,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1072,10,302,MINIATURE,COLUMBIA,bushel cartons,28.0,28.0,28.0
1174,9,267,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
1175,10,274,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
1176,10,281,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
1177,10,288,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
1178,10,295,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
1179,10,302,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
1180,11,309,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.454545454545453
1212,9,251,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
1213,9,258,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
1214,9,265,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
1215,9,272,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
1220,9,267,MINIATURE,NEW YORK,1/2 bushel cartons,15.0,18.0,33.0
1221,9,267,MINIATURE,NEW YORK,1/2 bushel cartons,20.0,20.0,40.0
1222,10,274,MINIATURE,NEW YORK,1/2 bushel cartons,15.0,18.0,33.0
1223,10,274,MINIATURE,NEW YORK,1/2 bushel cartons,20.0,20.0,40.0
1224,10,281,MINIATURE,NEW YORK,1/2 bushel cartons,18.0,18.0,36.0
1225,10,281,MINIATURE,NEW YORK,1/2 bushel cartons,20.0,20.0,40.0
1226,10,288,MINIATURE,NEW YORK,1/2 bushel cartons,15.0,18.0,33.0
1227,10,288,MINIATURE,NEW YORK,1/2 bushel cartons,18.0,20.0,38.0
1228,10,295,MINIATURE,NEW YORK,1/2 bushel cartons,18.0,20.0,38.0
1229,10,295,MINIATURE,NEW YORK,1/2 bushel cartons,15.0,18.0,33.0
1230,10,302,MINIATURE,NEW YORK,1/2 bushel cartons,15.0,16.0,31.0
1231,10,302,MINIATURE,NEW YORK,1/2 bushel cartons,18.0,18.0,36.0
1232,11,309,MINIATURE,NEW YORK,1/2 bushel cartons,15.0,16.0,31.0
